uniqueSampleKey,uniquePatientKey,entrezGeneId,molecularProfileId,sampleId,patientId,studyId,value
"VENHQS1PUi1BNUoxLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoxOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J1-01","TCGA-OR-A5J1","acc_tcga",16.3305
"VENHQS1PUi1BNUoyLTAxOmFjY190Y2dh","VENHQS1PUi1BNUoyOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J2-01","TCGA-OR-A5J2","acc_tcga",9.5987
"VENHQS1PUi1BNUozLTAxOmFjY190Y2dh","VENHQS1PUi1BNUozOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J3-01","TCGA-OR-A5J3","acc_tcga",20.7377
"VENHQS1PUi1BNUo1LTAxOmFjY190Y2dh","VENHQS1PUi1BNUo1OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J5-01","TCGA-OR-A5J5","acc_tcga",1696.6615
"VENHQS1PUi1BNUo2LTAxOmFjY190Y2dh","VENHQS1PUi1BNUo2OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J6-01","TCGA-OR-A5J6","acc_tcga",600.1618
"VENHQS1PUi1BNUo3LTAxOmFjY190Y2dh","VENHQS1PUi1BNUo3OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J7-01","TCGA-OR-A5J7","acc_tcga",10.8303
"VENHQS1PUi1BNUo4LTAxOmFjY190Y2dh","VENHQS1PUi1BNUo4OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J8-01","TCGA-OR-A5J8","acc_tcga",50.5595
"VENHQS1PUi1BNUo5LTAxOmFjY190Y2dh","VENHQS1PUi1BNUo5OmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5J9-01","TCGA-OR-A5J9","acc_tcga",8.1119
"VENHQS1PUi1BNUpBLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpBOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JA-01","TCGA-OR-A5JA","acc_tcga",52.3256
"VENHQS1PUi1BNUpCLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpCOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JB-01","TCGA-OR-A5JB","acc_tcga",191.4092
"VENHQS1PUi1BNUpDLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpDOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JC-01","TCGA-OR-A5JC","acc_tcga",187.659
"VENHQS1PUi1BNUpELTAxOmFjY190Y2dh","VENHQS1PUi1BNUpEOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JD-01","TCGA-OR-A5JD","acc_tcga",116.25
"VENHQS1PUi1BNUpFLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpFOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JE-01","TCGA-OR-A5JE","acc_tcga",58.2579
"VENHQS1PUi1BNUpGLTAxOmFjY190Y2dh","VENHQS1PUi1BNUpGOmFjY190Y2dh",1,"acc_tcga_rna_seq_v2_mrna","TCGA-OR-A5JF-01","TCGA-OR-A5JF","acc_tcga",30.1187
