cancer_study_id	name	description
paac_jhu_2014	Acinar Cell Carcinoma of the Pancreas (Johns Hopkins, J Pathol 2014)	Mutation data from whole exome sequencing of 23 surgically resected pancreatic carcinomas with acinar differentiation.
all_stjude_2016	Acute Lymphoblastic Leukemia (St Jude, Nat Genet 2016)	Whole-genome and/or whole-exome sequencing was performed for ERG-altered B-ALL cases.
laml_tcga_pub	Acute Myeloid Leukemia (TCGA, NEJM 2013)	TCGA Acute Myeloid Leukemia, analysis of 200 adult cases; raw data at the <A HREF="https://tcga-data.nci.nih.gov/tcga/tcgaCancerDetails.jsp?diseaseType=LAML&diseaseName=Acute%20Myeloid%20Leukemia">NCI</A>.
laml_tcga_pan_can_atlas_2018	Acute Myeloid Leukemia (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
laml_tcga	Acute Myeloid Leukemia (TCGA, Provisional)	TCGA Acute Myeloid Leukemia; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/LAML/20160128/gdac.broadinstitute.org_LAML.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
acyc_fmi_2014	Adenoid Cystic Carcinoma (FMI, Am J Surg Pathl. 2014)	Comprehensive genomic profiling of 28 metastatic ACCs.
acyc_mda_2015	Adenoid Cystic Carcinoma (MDA, Clin Cancer Res 2015)	WGS of 21 salivary ACCs and targeted molecular analyses of a validation set (81 patients).
acyc_mskcc_2013	Adenoid Cystic Carcinoma (MSKCC, Nat Genet 2013)	Whole-exome or whole-genome sequencing analysis of 60 ACC tumor/normal pairs
acyc_sanger_2013	Adenoid Cystic Carcinoma (Sanger/MDA, JCI 2013)	Whole exome sequencing of 24 ACCs.
acbc_mskcc_2015	Adenoid Cystic Carcinoma of the Breast (MSKCC, J Pathol. 2015)	Whole exome sequencing of 12 breast AdCCs.
acc_tcga_pan_can_atlas_2018	Adrenocortical Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
acc_tcga	Adrenocortical Carcinoma (TCGA, Provisional)	TCGA Adrenocortical Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <A HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/ACC/20160128/gdac.broadinstitute.org_ACC.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
ampca_bcm_2016	Ampullary Carcinoma (Baylor College of Medicine, Cell Reports 2016)	Mutation data from exome sequencing analysis of 160 cancers arising in the periampullary region, 62 of these clearly arising from either the bile duct (n = 44) or the duodenum (n = 18) and 98 for which the epithelium of origin could not be clearly defined morphologically (AMPCA).
blca_mskcc_solit_2014	Bladder Cancer (MSKCC, Eur Urol 2014)	Genomic Predictors of Survival in Patients with High-grade Urothelial Carcinoma of the Bladder. Targeted sequencing of 109 tumor samples (MSKCC, European Urology 2014).
blca_mskcc_solit_2012	Bladder Cancer (MSKCC, JCO 2013)	Comprehensive profiling of 97 bladder cancer samples, including targeted sequencing of 15 cancer genes. Iyer et al., JCO in press.
blca_tcga_pub_2017	Bladder Cancer (TCGA, Cell 2017)	Comprehensive analysis of muscle-invasive bladder cancers characterized by multiple TCGA analytical platforms.
blca_plasmacytoid_mskcc_2016	Bladder Cancer, Plasmacytoid Variant (MSKCC, Nat Genet 2016)	Genomic profiling of plasmacytoid-variant (signet ring cell) tumors of the bladder, published set
blca_bgi	Bladder Urothelial Carcinoma (BGI, Nat Genet 2013)	Exome and whole-genome sequencing of 99 bladder cancer samples. Generated by BGI.
blca_dfarber_mskcc_2014	Bladder Urothelial Carcinoma (Dana Farber & MSKCC, Cancer Discov 2014)	Whole exome sequencing of 50 patients with muscle invasive urothelial carcinoma
blca_tcga_pub	Bladder Urothelial Carcinoma (TCGA, Nature 2014)	TCGA Bladder Cancer, containing 131 samples; raw data at the NCI.
blca_tcga_pan_can_atlas_2018	Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
blca_tcga	Bladder Urothelial Carcinoma (TCGA, Provisional)	TCGA Bladder Urothelial Carcinoma; raw data at the <A HREF="https://tcga-data.nci.nih.gov/">NCI</A>; source mutation data from <a HREF="http://gdac.broadinstitute.org/runs/stddata__2016_01_28/data/BLCA/20160128/gdac.broadinstitute.org_BLCA.Mutation_Packager_Calls.Level_3.2016012800.0.0.tar.gz">GDAC Firehose</A>.
lgg_tcga_pan_can_atlas_2018	Brain Lower Grade Glioma (TCGA, PanCancer Atlas)	Comprehensive TCGA PanCanAtlas (https://gdc.cancer.gov/about-data/publications/pancanatlas) data from 11k cases and all TCGA tumor types (33). (PMID: 29625048, 29596782, 29622463, 29617662, 29625055, 29625050)
