category,name,description,sampleListId,studyId
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (12 samples)","acbc_mskcc_2015_sequenced","acbc_mskcc_2015"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (12 samples)","acbc_mskcc_2015_cnaseq","acbc_mskcc_2015"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (12 samples)","acbc_mskcc_2015_cna","acbc_mskcc_2015"
"all_cases_in_study","All Tumors","All tumor samples (12 samples)","acbc_mskcc_2015_all","acbc_mskcc_2015"
"all_cases_with_methylation_data","Tumor Samples with methylation data (HM450)","All samples with methylation (HM450) data (80 samples)","acc_tcga_methylation_hm450","acc_tcga"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (80 samples)","acc_tcga_methylation_all","acc_tcga"
"all_cases_with_mutation_data","All Sequenced Tumors","All sequenced tumor samples (90 samples)","acc_tcga_sequenced","acc_tcga"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (88 samples)","acc_tcga_cnaseq","acc_tcga"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (90 samples)","acc_tcga_cna","acc_tcga"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (79 samples)","acc_tcga_rna_seq_v2_mrna","acc_tcga"
"all_cases_in_study","All Tumors","All tumor samples (92 samples)","acc_tcga_all","acc_tcga"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (75 samples)","acc_tcga_3way_complete","acc_tcga"
"all_cases_with_rppa_data","Tumor Samples with RPPA data","Tumors with reverse phase protein array (RPPA) data for about 200 antibodies (46 samples)","acc_tcga_rppa","acc_tcga"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (91 samples)","acc_tcga_pan_can_atlas_2018_sequenced","acc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (89 samples)","acc_tcga_pan_can_atlas_2018_cnaseq","acc_tcga_pan_can_atlas_2018"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (89 samples)","acc_tcga_pan_can_atlas_2018_cna","acc_tcga_pan_can_atlas_2018"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq V2)","All samples with mRNA expression data (78 samples)","acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna","acc_tcga_pan_can_atlas_2018"
"all_cases_in_study","All Tumors","All tumor samples (92 samples)","acc_tcga_pan_can_atlas_2018_all","acc_tcga_pan_can_atlas_2018"
"all_cases_with_log2_cna_data","Tumor Samples with log2 copy-number","All tumors with log2 copy-number data (89 samples)","acc_tcga_pan_can_atlas_2018_log2CNA","acc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_and_cna_and_mrna_data","All Complete Tumors","All tumor samples that have mRNA, CNA and sequencing data (76 samples)","acc_tcga_pan_can_atlas_2018_3way_complete","acc_tcga_pan_can_atlas_2018"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (28 samples)","acyc_fmi_2014_sequenced","acyc_fmi_2014"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (28 samples)","acyc_fmi_2014_cnaseq","acyc_fmi_2014"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (28 samples)","acyc_fmi_2014_cna","acyc_fmi_2014"
"all_cases_in_study","All Tumors","All tumor samples (28 samples)","acyc_fmi_2014_all","acyc_fmi_2014"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (65 samples)","acyc_mda_2015_sequenced","acyc_mda_2015"
"all_cases_in_study","All Tumors","All tumor samples (102 samples)","acyc_mda_2015_all","acyc_mda_2015"
"all_cases_with_mutation_data","Sequenced Tumors","All sequenced samples (60 samples)","acyc_mskcc_2013_sequenced","acyc_mskcc_2013"
"all_cases_with_mutation_and_cna_data","Tumors with sequencing and CNA data","All tumor samples that have CNA and sequencing data (60 samples)","acyc_mskcc_2013_cnaseq","acyc_mskcc_2013"
"all_cases_with_cna_data","Tumors CNA","All tumors with CNA data (60 samples)","acyc_mskcc_2013_cna","acyc_mskcc_2013"
"all_cases_in_study","All Tumors","All tumor samples (60 samples)","acyc_mskcc_2013_all","acyc_mskcc_2013"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (24 samples)","acyc_sanger_2013_sequenced","acyc_sanger_2013"
"all_cases_in_study","All Tumors","All tumor samples (24 samples)","acyc_sanger_2013_all","acyc_sanger_2013"
"all_cases_with_methylation_data","All tumor samples with methylation data","All samples with methylation data (149 samples)","all_phase2_target_2018_pub_methylation_all","all_phase2_target_2018_pub"
"all_cases_with_mrna_rnaseq_data","Tumor Samples with mRNA data (RNA Seq)","All samples with mRNA expression data (203 samples)","all_phase2_target_2018_pub_rna_seq_mrna","all_phase2_target_2018_pub"
"other","VALIDATION cohort","All tumors in VALIDATION cohort (776 samples)","all_phase2_target_2018_pub_validation","all_phase2_target_2018_pub"
"all_cases_with_mutation_data","Sequenced Tumors","All (Next-Gen) sequenced samples (150 samples)","all_phase2_target_2018_pub_sequenced","all_phase2_target_2018_pub"
"all_cases_with_mutation_and_cna_data","Tumor Samples with sequencing and CNA data","All tumor samples that have CNA and sequencing data (95 samples)","all_phase2_target_2018_pub_cnaseq","all_phase2_target_2018_pub"
"all_cases_with_cna_data","Tumor Samples with CNA data","All tumors with CNA data (764 samples)","all_phase2_target_2018_pub_cna","all_phase2_target_2018_pub"
"other","XENOGRAFT cohort","All tumors in XENOGRAFT cohort (220 samples)","all_phase2_target_2018_pub_xenograft","all_phase2_target_2018_pub"
"all_cases_in_study","All tumors","All tumor samples (1978 samples)","all_phase2_target_2018_pub_all","all_phase2_target_2018_pub"
"all_cases_with_mrna_array_data","Tumor Samples with mRNA data (Agilent microarray)","All samples with mRNA expression data (301 samples)","all_phase2_target_2018_pub_mrna","all_phase2_target_2018_pub"
"other","DISCOVERY cohort","All tumors in DISCOVERY cohort (1004 samples)","all_phase2_target_2018_pub_discovery","all_phase2_target_2018_pub"
