type_of_cancer_id	name
aa	Aggressive Angiomyxoma
aastr	Anaplastic Astrocytoma
abc	Activated B-cell Type
abl	Acute Basophilic Leukemia
aca	Adrenocortical Adenoma
acbc	Adenoid Cystic Breast Cancer
acc	Adrenocortical Carcinoma
accc	Acinic Cell Carcinoma
acml	Atypical Chronic Myeloid Leukemia, BCR-ABL1-
acn	Acinar Cell Carcinoma, NOS
acpg	Craniopharyngioma, Adamantinomatous Type
acpp	Atypical Choroid Plexus Papilloma
acrm	Acral Melanoma
acyc	Adenoid Cystic Carcinoma
adma	Adamantinoma
adnos	Adenocarcinoma, NOS
adpa	Aggressive Digital Papillary Adenocarcinoma
adrenal_gland	Adrenal Gland
aeca	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma
afh	Angiomatoid Fibrous Histiocytoma
afx	Atypical Fibroxanthoma
aga	Anal Gland Adenocarcinoma
agng	Anaplastic Ganglioglioma
ahcd	Alpha Heavy-Chain Disease
ais	Adenocarcinoma In Situ
aitl	Angioimmunoblastic T-Cell Lymphoma
alal	Acute Leukemias of Ambiguous Lineage
alcl	Anaplastic Large Cell Lymphoma
alclalkn	Anaplastic Large-Cell Lymphoma ALK Negative
alclalkp	Anaplastic Large-Cell Lymphoma ALK Positive
alklbcl	ALK Positive Large B-Cell Lymphoma
aluca	Atypical Lung Carcinoid
am	AML with Maturation
ambl	Large Cell/Anaplastic Medulloblastoma
amkl	Acute Megakaryoblastic Leukemia
aml	Acute Myeloid Leukemia
amlbcrabl1	AML with BCR-ABL1
amlcbfbmyh11	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11
amlcebpa	AML with Biallelic Mutations of CEBPA
amldeknup214	AML with t(6;9)(p23;q34.1);DEK-NUP214
amlgata2mecom	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM
amlmd	AML with Minimal Differentiation
amlmllt3kmt2a	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A
amlmrc	AML with Myelodysplasia-Related Changes
amlnos	AML, NOS
amlnpm1	AML with Mutated NPM1
amlrbm15mkl1	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1
amlrga	AML with Recurrent Genetic Abnormalities
amlrunx1	AML with Mutated RUNX1
amlrunx1runx1t1	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1
amml	Acute Myelomonocytic Leukemia
amol	Acute Monoblastic/Monocytic Leukemia
ampca	Ampullary Carcinoma
ampulla_of_vater	Ampulla of Vater
an	Atypical Nevus
angl	Angiocentric Glioma
angs	Angiosarcoma
ankl	Aggressive NK-Cell Leukemia
anm	Anaplastic Meningioma
ansc	Anal Squamous Cell Carcinoma
aoast	Anaplastic Oligoastrocytoma
aodg	Anaplastic Oligodendroglioma
apad	Appendiceal Adenocarcinoma
ape	Anaplastic Ependymoma
aplpmlrara	APL with PML-RARA
apmf	Acute Panmyelosis with Myelofibrosis
aptad	Atypical Pituitary Adenoma
apxa	Anaplastic Pleomorphic Xanthoastrocytoma
armm	Anorectal Mucosal Melanoma
arms	Alveolar Rhabdomyosarcoma
asct	Adenosquamous Carcinoma of the Tongue
asm	Aggressive Systemic Mastocytosis
asps	Alveolar Soft Part Sarcoma
astb	Astroblastoma
astr	Astrocytoma
atll	Adult T-Cell Leukemia/Lymphoma
atm	Atypical Meningioma
atrt	Atypical Teratoid/Rhabdoid Tumor
aul	Acute Undifferentiated Leukemia
awdnet	Well-Differentiated Neuroendocrine Tumor of the Appendix
awm	AML without Maturation
ba	Breast Angiosarcoma
bcc	Basal Cell Carcinoma
bcca	Choriocarcinoma
bclu	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma
bec	Embryonal Carcinoma
bfn	Breast Fibroepithelial Neoplasms
bgct	Germ Cell Tumor, Brain
bialcl	Breast Implant-Associated Anaplastic Large-Cell Lymphoma
biliary_tract	Biliary Tract
bimt	Immature Teratoma
bl	Burkitt Lymphoma
blad	Bladder Adenocarcinoma
bladder	Bladder/Urinary Tract
blca	Bladder Urothelial Carcinoma
blclc	Basaloid Large Cell Carcinoma of the Lung
bll	B-Lymphoblastic Leukemia/Lymphoma
bll11q	Burkitt-Like Lymphoma with 11q Aberration
bllbcrabl1	B-Lymphoblastic Leukemia/Lymphoma with t(9;22)(q34.1;q11.2);BCR-ABL1
bllbcrabl1l	B-Lymphoblastic Leukemia/Lymphoma, BCR-ABL1 Like
blletv6runx1	B-Lymphoblastic Leukemia/Lymphoma with t(12;21)(p13.2;q22.1); ETV6-RUNX1
bllhyper	B-Lymphoblastic Leukemia/Lymphoma with Hyperdiploidy
bllhypo	B-Lymphoblastic Leukemia/Lymphoma with Hypodiploidy
blliamp21	B-Lymphoblastic Leukemia/Lymphoma with iAMP21
bllil3igh	B-Lymphoblastic Leukemia/Lymphoma with t(5;14)(q31.1;q32.3) IL3-IGH
bllkmt2a	B-Lymphoblastic Leukemia/Lymphoma with t(v;11q23.3);KMT2A Rearranged
bllnos	B-Lymphoblastic Leukemia/Lymphoma, NOS
bllrga	B-Lymphoblastic Leukemia/Lymphoma with Recurrent Genetic Abnormalities
blltcf3pbx1	B-Lymphoblastic Leukemia/Lymphoma with t(1;19)(q23;p13.3);TCF3-PBX1
blpt	Borderline Phyllodes Tumor of the Breast
blsc	Bladder Squamous Cell Carcinoma
bmgct	Mixed Germ Cell Tumor
bmgt	Malignant Teratoma
bmt	Mature Teratoma
bnnos	Breast Neoplasm, NOS
bone	Bone
bowel	Bowel
bpdcn	Blastic Plasmacytoid Dendritic Cell Neoplasm
bpll	B-Cell Prolymphocytic Leukemia
bpscc	Basaloid Penile Squamous Cell Carcinoma
bpt	Benign Phyllodes Tumor of the Breast
brain	CNS/Brain
brame	Adenomyoepithelioma of the Breast
brca	Invasive Breast Carcinoma
brcanos	Breast Invasive Cancer, NOS
brcnos	Breast Invasive Carcinoma, NOS
breast	Breast
brsrcc	Breast Carcinoma with Signet Ring
btbeov	Brenner Tumor, Benign
btbov	Brenner Tumor, Borderline
btmov	Brenner Tumor, Malignant
btov	Brenner Tumor
byst	Yolk Sac Tumor
cabc	Cervical Adenoid Basal Carcinoma
cacc	Cervical Adenoid Cystic Carcinoma
cais	Colon Adenocarcinoma In Situ
ccbov	Clear Cell Borderline Ovarian Tumor
cce	Clear Cell Ependymoma
cchdm	Conventional Type Chordoma
cchm	Carcinoma with Chondroid Metaplasia
cclc	Clear Cell Carcinoma of the Lung
ccm	Clear cell Meningioma
ccoc	Clear Cell Odontogenic Carcinoma
ccov	Clear Cell Ovarian Cancer
ccprc	Clear Cell Papillary Renal Cell Carcinoma
ccrcc	Renal Clear Cell Carcinoma
ccs	Clear Cell Sarcoma
ccsk	Clear Cell Sarcoma of Kidney
cdrcc	Collecting Duct Renal Cell Carcinoma
cead	Cervical Adenocarcinoma
ceais	Cervical Adenocarcinoma In Situ
ceas	Cervical Adenosquamous Carcinoma
cecc	Cervical Clear Cell Carcinoma
ceen	Cervical Endometrioid Carcinoma
cegcc	Glassy Cell Carcinoma of the Cervix
celi	Cervical Leiomyosarcoma
celnos	Chronic Eosinophilic Leukemia, NOS
cemn	Mesonephric Carcinoma
cemu	Mucinous Carcinoma
cene	Cervical Neuroendocrine Tumor
cerms	Cervical Rhabdomyosarcoma
cervix	Cervix
cesc	Cervical Squamous Cell Carcinoma
cese	Cervical Serous Carcinoma
cevg	Villoglandular Carcinoma
chbl	Chondroblastoma
chdm	Chordoma
chgl	Chordoid Glioma of the Third Ventricle
chl	Classical Hodgkin Lymphoma
chlptld	Classical Hodgkin Lymphoma PTLD
chm	Complete Hydatidiform Mole
chol	Cholangiocarcinoma
chom	Chordoid Meningioma
chos	Chondroblastic Osteosarcoma
chrcc	Chromophobe Renal Cell Carcinoma
chs	Chondrosarcoma
cllsll	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma
clnc	Cerebellar Liponeurocytoma
clpdnk	Chronic Lymphoproliferative Disorder of NK Cells
cm	Conjunctival Melanoma
cmc	Medullary Carcinoma of the Colon
cmcd	Cutaneous Mastocytosis
cml	Chronic Myelogenous Leukemia
cmlbcrabl1	Chronic Myeloid Leukemia, BCR-ABL1+
cmml	Chronic Myelomonocytic Leukemia
cmml0	Chronic Myelomonocytic Leukemia-0
cmml1	Chronic Myelomonocytic Leukemia-1
cmml2	Chronic Myelomonocytic Leukemia-2
cmpt	Ciliated Muconodular Papillary Tumor of the Lung
cnc	Central Neurocytoma
cnl	Chronic Neutrophilic Leukemia
coad	Colon Adenocarcinoma
coadread	Colorectal Adenocarcinoma
com	Carcinoma with Osseous Metaplasia
cpc	Choroid Plexus Carcinoma
cpp	Choroid Plexus Papilloma
cpt	Choroid Plexus Tumor
cscc	Cutaneous Squamous Cell Carcinoma
cschw	Cellular Schwannoma
csclc	Combined Small Cell Lung Carcinoma
csnos	Breast Invasive Carcinosarcoma, NOS
ctaap	Colonic Type Adenocarcinoma of the Appendix
cup	Cancer of Unknown Primary
cupnos	Cancer of Unknown Primary, NOS
da	Duodenal Adenocarcinoma
dastr	Diffuse Astrocytoma
dcis	Breast Ductal Carcinoma In Situ
dcs	Dendritic Cell Sarcoma
ddchdm	Dedifferentiated Chordoma
ddchs	Dedifferentiated Chondrosarcoma
ddls	Dedifferentiated Liposarcoma
des	Desmoid/Aggressive Fibromatosis
desm	Desmoplastic Melanoma
df	Dermatofibroma
dfl	Duodenal-Type Follicular Lymphoma
dfsp	Dermatofibrosarcoma Protuberans
dia	Desmoplastic Infantile Astrocytoma
difg	Diffuse Glioma
dig	Desmoplastic Infantile Ganglioglioma
dipg	Diffuse Intrinsic Pontine Glioma
dlbclci	DLBCL Associated with Chronic Inflammation
dlbclnos	Diffuse Large B-Cell Lymphoma, NOS
dmbl	Desmoplastic/Nodular Medulloblastoma
dnt	Dysembryoplastic Neuroepithelial Tumor
dsrct	Desmoplastic Small-Round-Cell Tumor
dstad	Diffuse Type Stomach Adenocarcinoma
dte	Desmoplastic Trichoepithelioma
eatl	Enteropathy-Associated T-Cell Lymphoma
ebov	Endometrioid Borderlin Ovarian Tumor
ebvdlbclnos	EBV Positive DLBCL, NOS
ebvmcu	EBV Positive Mucocutaneous Ulcer
ecad	Endocervical Adenocarcinoma
ecd	Erdheim-Chester Disease
egc	Esophagogastric Adenocarcinoma
egct	Extra Gonadal Germ Cell Tumor
ehae	Epithelioid Hemangioendothelioma
ehch	Extrahepatic Cholangiocarcinoma
emalt	Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue (MALT lymphoma)
embc	Epithelial Type Metaplastic Breast Cancer
embca	Embryonal Carcinoma
embt	Embryonal Tumor
