displayName,description,datatype,patientAttribute,priority,clinicalAttributeId,studyId
"Adjuvant Chemotherapy","Adjuvant Chemotherapy","STRING",true,"1","ADJUVANT_CHEMO","acbc_mskcc_2015"
"Adjuvant Treatment","Adjuvant treatment.","STRING",true,"1","ADJUVANT_TX","acbc_mskcc_2015"
"Diagnosis Age","Age at which a condition or disease was first diagnosed.","NUMBER",true,"1","AGE","acbc_mskcc_2015"
"Cancer Type","Disease type","STRING",false,"1","CANCER_TYPE","acbc_mskcc_2015"
"Cancer Type Detailed","Cancer Type Detailed","STRING",false,"1","CANCER_TYPE_DETAILED","acbc_mskcc_2015"
"ER Status By IHC","breast carcinoma progesterone receptor status","STRING",false,"1","ER_STATUS_BY_IHC","acbc_mskcc_2015"
"Followup (years)","Followup in years","NUMBER",true,"1","FOLLOWUP_YEARS","acbc_mskcc_2015"
"Fusion Status","Fusion Status","STRING",false,"1","FUSION_STATUS","acbc_mskcc_2015"
"Genomic Alterations","Number of genomic alterations","NUMBER",false,"1","GENOMIC_ALTERATIONS","acbc_mskcc_2015"
"IHC-HER2","IHC-HER2","STRING",false,"1","IHC_HER2","acbc_mskcc_2015"
"Local Regional Recurrence","Local Regional Recurrence","STRING",true,"1","LOCAL_REGIONAL_RECURRENCE","acbc_mskcc_2015"
"Metastatic Site","The anatomic location to which the cancer has spread.","STRING",false,"1","METASTATIC_SITE","acbc_mskcc_2015"
"Metastatic tumor indicator","Distant metastasis present ind2","STRING",false,"1","METASTATIC_TUMOR_INDICATOR","acbc_mskcc_2015"
"Mutation Count","Mutation Count","NUMBER",false,"30","MUTATION_COUNT","acbc_mskcc_2015"
"MYB or MYBL1 Fusion","Description of MYB or MYBL1 fusions identified.","STRING",true,"1","MYB_MYBL1_FUSION","acbc_mskcc_2015"
"MYB-NFIB Fusion Gene Copy Number Alterations","MYB-NFIB Fusion Gene Copy Number Alterations","STRING",false,"1","MYB_NFIB_CNA","acbc_mskcc_2015"
"MYB-NFIB FISH","MYB-NFIB FISH.","STRING",false,"1","MYB_NFIB_FISH","acbc_mskcc_2015"
"MYB-NFIB Fusion Gene Non-synonymous Mutations","Count of non-synonymous mutations in MYB-NFIB Fusion Gene","STRING",false,"1","MYB_NFIB_NONSYNONYMOUS_COUNT","acbc_mskcc_2015"
"MYB-NFIB Rearrangement","MYB-NFIB Rearrangement Description","STRING",true,"1","MYB_NFIB_REARRANGEMENT","acbc_mskcc_2015"
"Neoadjuvant Chemotherapy","Neoadjuvant Chemotherapy.","STRING",true,"1","NEOADJUVANT_CHEMO","acbc_mskcc_2015"
"Oncotree Code","Oncotree Code","STRING",false,"1","ONCOTREE_CODE","acbc_mskcc_2015"
"Overall Patient Histology","Overall Patient Histology","STRING",true,"1","OVERALL_PATIENT_HISTOLOGY","acbc_mskcc_2015"
